Linux 6.8.0-52-generic (SnowBrain) 	07.03.2025 	_x86_64_	(4 CPU)

14.39.18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14.40.15     all    2,02    0,00    3,02    0,00    0,00    0,00    0,00    0,00    0,00   94,96
14.40.16     all    1,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,51
14.40.17     all    1,26    0,00    2,27    0,00    0,00    0,00    0,00    0,00    0,00   96,47
14.40.18     all    1,01    0,00    0,76    0,00    0,00    0,00    0,00    0,00    0,00   98,24
14.40.19     all    1,75    0,00    2,01    0,00    0,00    0,00    0,00    0,00    0,00   96,24
14.40.20     all    1,75    0,00    0,25    0,25    0,00    0,00    0,00    0,00    0,00   97,74
14.40.21     all    0,50    0,00    0,25    0,00    0,00    0,00    0,00    0,00    0,00   99,25
14.40.22     all    7,04    0,00    3,27    0,00    0,00    0,00    0,00    0,00    0,00   89,70
14.40.23     all    0,74    0,00    0,74    0,00    0,00    0,00    0,00    0,00    0,00   98,51
14.40.24     all    1,52    0,00    2,03    0,00    0,00    0,00    0,00    0,00    0,00   96,46
14.40.25     all    7,52    0,00    7,27    0,00    0,00    0,00    0,00    0,00    0,00   85,21
14.40.26     all    1,76    0,00    2,51    0,25    0,00    0,00    0,00    0,00    0,00   95,48
14.40.27     all    1,75    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,24
14.40.28     all    4,57    0,00    2,54    0,00    0,00    0,00    0,00    0,00    0,00   92,89
14.40.29     all   10,55    0,00    4,02    0,50    0,00    0,00    0,00    0,00    0,00   84,92
14.40.30     all   43,73    0,00   15,35    0,26    0,00    0,51    0,00    0,00    0,00   40,15
14.40.31     all   37,24    0,00   15,56    0,26    0,00    0,00    0,00    0,00    0,00   46,94
14.40.32     all   64,07    0,00   21,11    0,50    0,00    0,25    0,00    0,00    0,00   14,07
14.40.33     all   65,33    0,00    7,79    0,00    0,00    0,50    0,00    0,00    0,00   26,38
14.40.34     all   30,23    0,00    7,49    0,26    0,00    0,52    0,00    0,00    0,00   61,50
14.40.35     all   54,36    0,00   15,38    0,51    0,00    0,26    0,00    0,00    0,00   29,49
14.40.36     all   55,75    0,00   27,62    0,00    0,00    0,51    0,00    0,00    0,00   16,11
14.40.37     all   38,62    0,00   14,83    0,51    0,00    0,26    0,00    0,00    0,00   45,78
14.40.38     all   30,85    0,00    9,51    0,26    0,00    0,26    0,00    0,00    0,00   59,13
14.40.39     all   25,06    0,00   11,11    0,26    0,00    0,00    0,00    0,00    0,00   63,57
14.40.40     all   22,11    0,00    6,68    0,77    0,00    0,26    0,00    0,00    0,00   70,18
14.40.41     all   26,33    0,00   14,18    0,25    0,00    0,76    0,00    0,00    0,00   58,48
14.40.42     all   22,37    0,00    7,46    0,51    0,00    0,26    0,00    0,00    0,00   69,41
14.40.43     all   24,87    0,00   10,10    0,26    0,00    0,26    0,00    0,00    0,00   64,51
14.40.44     all   38,01    0,00   21,43    0,77    0,00    0,26    0,00    0,00    0,00   39,54
14.40.45     all   50,39    0,00   14,03    0,00    0,00    0,26    0,00    0,00    0,00   35,32
14.40.46     all   37,82    0,00   10,41    0,00    0,00    0,25    0,00    0,00    0,00   51,52
14.40.47     all   37,60    0,00    6,39    0,26    0,00    0,26    0,00    0,00    0,00   55,50
14.40.48     all   47,83    0,00   16,11    0,26    0,00    0,00    0,00    0,00    0,00   35,81
14.40.49     all   48,85    0,00   20,61    0,51    0,00    0,51    0,00    0,00    0,00   29,52
14.40.50     all   46,94    0,00   12,24    0,26    0,00    0,00    0,00    0,00    0,00   40,56
14.40.51     all   78,89    0,00   14,82    0,00    0,00    0,25    0,00    0,00    0,00    6,03
14.40.52     all   71,14    0,00   14,94    0,25    0,00    0,25    0,00    0,00    0,00   13,42
14.40.53     all   34,53    0,00   12,28    0,77    0,00    0,51    0,00    0,00    0,00   51,92
14.40.54     all   63,45    0,00   15,99    0,25    0,00    0,51    0,00    0,00    0,00   19,80
14.40.55     all   73,82    0,00   22,69    0,00    0,00    0,75    0,00    0,00    0,00    2,74
14.40.56     all   72,54    0,00   19,65    0,25    0,00    0,50    0,00    0,00    0,00    7,05
14.40.57     all   68,26    0,00   19,65    0,50    0,00    0,25    0,00    0,00    0,00   11,34
14.40.58     all   60,96    0,00   12,34    0,25    0,00    0,50    0,00    0,00    0,00   25,94
14.40.59     all   35,99    0,00    9,00    1,03    0,00    0,26    0,00    0,00    0,00   53,73
14.41.00     all   25,58    0,00   11,51    1,02    0,00    0,26    0,00    0,00    0,00   61,64
14.41.01     all   34,95    0,00   15,05    0,77    0,00    0,00    0,00    0,00    0,00   49,23
14.41.02     all   28,17    0,00   11,63    0,78    0,00    0,26    0,00    0,00    0,00   59,17
14.41.03     all   22,76    0,00    7,42    1,02    0,00    0,77    0,00    0,00    0,00   68,03
14.41.04     all   42,64    0,00   20,56    0,76    0,00    0,25    0,00    0,00    0,00   35,79
14.41.05     all   35,48    0,00   12,60    0,26    0,00    0,26    0,00    0,00    0,00   51,41
14.41.06     all   36,57    0,00   18,41    0,51    0,00    0,00    0,00    0,00    0,00   44,50
14.41.07     all   24,36    0,00    8,21    0,77    0,00    0,26    0,00    0,00    0,00   66,41
14.41.08     all   24,03    0,00    8,79    1,03    0,00    0,26    0,00    0,00    0,00   65,89
14.41.09     all   27,66    0,00    9,39    1,52    0,00    0,25    0,00    0,00    0,00   61,17
14.41.10     all   25,26    0,00    5,93    0,52    0,00    0,26    0,00    0,00    0,00   68,04
14.41.11     all   30,00    0,00   13,08    1,03    0,00    0,26    0,00    0,00    0,00   55,64
14.41.12     all   25,45    0,00    7,12    1,53    0,00    0,25    0,00    0,00    0,00   65,65
14.41.13     all   35,82    0,00   11,60    1,03    0,00    0,52    0,00    0,00    0,00   51,03
14.41.14     all   22,76    0,00    7,16    1,02    0,00    0,26    0,00    0,00    0,00   68,80
14.41.15     all   26,02    0,00   11,22    1,02    0,00    0,26    0,00    0,00    0,00   61,48
14.41.16     all   84,63    0,00    9,07    0,00    0,00    0,25    0,00    0,00    0,00    6,05
14.41.17     all   32,41    0,00   11,65    0,76    0,00    0,25    0,00    0,00    0,00   54,94
14.41.18     all   26,99    0,00    9,51    0,77    0,00    0,26    0,00    0,00    0,00   62,47
14.41.19     all   26,85    0,00    7,67    1,53    0,00    0,26    0,00    0,00    0,00   63,68
14.41.20     all   26,09    0,00   12,53    0,77    0,00    0,51    0,00    0,00    0,00   60,10
14.41.21     all   20,82    0,00    5,91    1,29    0,00    0,26    0,00    0,00    0,00   71,72
14.41.22     all   26,22    0,00   11,05    1,29    0,00    0,26    0,00    0,00    0,00   61,18
14.41.23     all   23,59    0,00    7,69    1,03    0,00    0,26    0,00    0,00    0,00   67,44
